psi	res
40	-0.00378790614540203
40	-0.00234290614540211
40	-0.00244890614540205
40	-0.00282190614540212
40	-0.00128190614540202
40	-0.0013039061454021
40	-0.00163890614540207
40	-0.00109890614540209
40	-0.0014929061454021
40	-0.000922906145402025
41	-0.00360790614540207
41	-0.00208790614540211
41	-0.00229290614540212
41	-0.00264990614540206
41	-0.0011069061454021
41	-0.000976906145402023
41	-0.00138990614540213
41	-0.000878906145402092
41	-0.00121090614540209
41	-0.000605906145402124
42	-0.00336490614540208
42	-0.00194790614540208
42	-0.00217390614540203
42	-0.00253190614540211
42	-0.000923906145402054
42	-0.000890906145402104
42	-0.00115190614540206
42	-0.000642906145402078
42	-0.00111290614540205
42	-0.000315906145402112
43	-0.00314490614540208
43	-0.00180790614540205
43	-0.00201690614540206
43	-0.00246090614540206
43	-0.000693906145402101
43	-0.000676906145402056
43	-0.00101990614540204
43	-0.000568906145402059
43	-0.000840906145402109
43	-8.99061454020522e-05
44	-0.00301490614540212
44	-0.00175590614540211
44	-0.00187390614540206
44	-0.00239590614540208
44	-0.000591906145402055
44	-0.000482906145402029
44	-0.000855906145402097
44	-0.000469906145402099
44	-0.000799906145402041
44	3.80938545979648e-05
45	-0.00290890614540207
45	-0.0015509061454021
45	-0.00168890614540207
45	-0.00229090614540206
45	-0.000403906145402089
45	-0.000324906145402037
45	-0.000631906145402095
45	-0.000388906145402101
45	-0.000612906145402103
45	0.000115093854597959
46	-0.00272190614540213
46	-0.00145190614540203
46	-0.00152890614540213
46	-0.00224790614540205
46	-0.000224906145402048
46	-0.000179906145402087
46	-0.000513906145402032
46	-0.000219906145402127
46	-0.000454906145402112
46	0.000204093854597964
47	-0.00252990614540205
47	-0.00134090614540205
47	-0.00139090614540205
47	-0.00209890614540209
47	-0.000161906145402124
47	-1.59061454020337e-05
47	-0.000358906145402127
47	-3.8906145402029e-05
47	-0.000285906145402026
47	0.000331093854597952
48	-0.00247090614540213
48	-0.00125190614540205
48	-0.00127390614540213
48	-0.0019679061454021
48	-8.79061454021057e-05
48	0.000108093854597868
48	-0.000261906145402113
48	0.000181093854597969
48	-0.000125906145402088
48	0.000454093854597937
49	-0.0023619061454021
49	-0.00108790614540211
49	-0.00120190614540205
49	-0.00184890614540212
49	-9.90614540208323e-06
49	0.000178093854597883
49	-9.0906145402081e-05
49	0.000321093854597887
49	-4.6906145402037e-05
49	0.000643093854597931
50	-0.00220790614540212
50	-0.000966906145402069
50	-0.00109290614540203
50	-0.00181090614540202
50	9.10938545979345e-05
50	0.000295093854597916
50	2.60938545979528e-05
50	0.000430093854597913
50	5.50938545978985e-05
50	0.000799093854597976
51	-0.00212290614540211
51	-0.000832906145402101
51	-0.000971906145402102
51	-0.00166990614540208
51	0.000241093854597918
51	0.000480093854597907
51	0.000124093854597884
51	0.000515093854597914
51	0.000187093854597919
51	0.000900093854597883
52	-0.00201090614540211
52	-0.000692906145402072
52	-0.000937906145402123
52	-0.00155190614540213
52	0.00033209385459787
52	0.000589093854597933
52	0.000156093854597916
52	0.000655093854597943
52	0.000335093854597956
52	0.000950093854597878
53	-0.00193790614540212
53	-0.000611906145402075
53	-0.000814906145402028
53	-0.00148090614540208
53	0.000479093854597878
53	0.000641093854597874
53	0.000252093854597901
53	0.000758093854597908
53	0.000434093854597917
53	0.00104809385459792
54	-0.00183390614540213
54	-0.000522906145402069
54	-0.000690906145402126
54	-0.00136990614540211
54	0.000553093854597897
54	0.000696093854597901
54	0.000357093854597923
54	0.000819093854597885
54	0.000569093854597913
54	0.0010550938545979
55	-0.00178590614540208
55	-0.000423906145402109
55	-0.000583906145402047
55	-0.00128190614540202
55	0.000684093854597889
55	0.000855093854597921
55	0.000383093854597893
55	0.000906093854597945
55	0.000753093854597875
55	0.00115509385459789
56	-0.00171590614540207
56	-0.000340906145402053
56	-0.00053590614540211
56	-0.00115390614540212
56	0.000755093854597932
56	0.000901093854597912
56	0.000484093854597911
56	0.00101209385459788
56	0.000861093854597872
56	0.00126409385459791
57	-0.00159090614540203
57	-0.000293906145402034
57	-0.000498906145402045
57	-0.00108090614540213
57	0.000890093854597929
57	0.000989093854597889
57	0.000581093854597925
57	0.00102709385459787
57	0.000948093854597931
57	0.00137509385459789
58	-0.00146390614540204
58	-0.000208906145402032
58	-0.000485906145402115
58	-0.00107490614540207
58	0.0010010938545979
58	0.00101109385459797
58	0.000609093854597953
58	0.0010820938545979
58	0.00101409385459794
58	0.00148509385459794
59	-0.0013849061454021
59	-0.000105906145402068
59	-0.000436906145402038
59	-0.000956906145402114
59	0.00109109385459794
59	0.00106209385459788
59	0.000699093854597876
59	0.00113009385459795
59	0.00107509385459792
59	0.00155609385459787
60	-0.00125890614540203
60	-4.79061454020657e-05
60	-0.000409906145402039
60	-0.000844906145402113
60	0.00116609385459787
60	0.00109009385459791
60	0.000724093854597929
60	0.00116609385459787
60	0.00107709385459798
60	0.00156109385459791
61	-0.00115390614540212
61	4.9093854597948e-05
61	-0.000347906145402033
61	-0.000863906145402105
61	0.00121809385459792
61	0.00114809385459791
61	0.000791093854597968
61	0.00129309385459797
61	0.00113109385459798
61	0.00161809385459788
62	-0.00109090614540208
62	8.00938545979513e-05
62	-0.000277906145402129
62	-0.000815906145402057
62	0.00125809385459796
62	0.00115209385459791
62	0.000842093854597881
62	0.00135309385459792
62	0.00121409385459792
62	0.00167409385459794
63	-0.00100890614540206
63	0.000100093854597971
63	-0.000213906145402065
63	-0.000748906145402128
63	0.00127609385459793
63	0.00113709385459793
63	0.000887093854597953
63	0.00141209385459795
63	0.00128509385459796
63	0.00177409385459792
64	-0.000907906145402038
64	0.000137093854597925
64	-0.000101906145402064
64	-0.000646906145402082
64	0.00137709385459794
