psi	res
50	-0.00407690614540213
50	-0.00262990614540204
50	-0.00262090614540211
50	-0.00309490614540209
50	-0.00142990614540206
50	-0.00159790614540212
50	-0.00192790614540206
50	-0.00137990614540207
50	-0.00196290614540207
50	-0.00123690614540206
51	-0.00390590614540209
51	-0.00254090614540203
51	-0.00253790614540206
51	-0.00297690614540203
51	-0.00132090614540203
51	-0.00141290614540213
51	-0.0017709061454021
51	-0.00118290614540206
51	-0.00173190614540208
51	-0.0011069061454021
52	-0.00379190614540204
52	-0.00236590614540211
52	-0.00246090614540206
52	-0.00284690614540206
52	-0.00123690614540206
52	-0.00130590614540205
52	-0.00159190614540206
52	-0.00110190614540207
52	-0.00156290614540211
52	-0.00093990614540207
53	-0.00364590614540206
53	-0.00218490614540212
53	-0.00233290614540205
53	-0.00272690614540205
53	-0.00118290614540206
53	-0.00108790614540211
53	-0.00146890614540207
53	-0.00099990614540213
53	-0.00135690614540207
53	-0.000749906145402046
54	-0.00353590614540211
54	-0.00204690614540204
54	-0.00219090614540207
54	-0.00258990614540211
54	-0.00105490614540205
54	-0.00095290614540211
54	-0.00128890614540211
54	-0.000821906145402118
54	-0.0011879061454021
54	-0.000586906145402133
55	-0.0033619061454021
55	-0.0019409061454021
55	-0.00216790614540208
55	-0.00249990614540208
55	-0.000903906145402034
55	-0.000867906145402109
55	-0.0011689061454021
55	-0.000664906145402044
55	-0.00110590614540207
55	-0.000372906145402085
56	-0.00320090614540203
56	-0.0018599061454021
56	-0.00205190614540207
56	-0.00245290614540206
56	-0.000795906145402037
56	-0.000736906145402116
56	-0.0010299061454021
56	-0.000597906145402116
56	-0.000920906145402078
56	-0.000180906145402115
57	-0.0030839061454021
57	-0.00178790614540203
57	-0.00195590614540209
57	-0.00242990614540206
57	-0.000600906145402091
57	-0.000622906145402058
57	-0.000976906145402023
57	-0.000551906145402126
57	-0.000802906145402127
57	-6.79061454020857e-05
58	-0.00302390614540204
58	-0.00170990614540212
58	-0.00184890614540212
58	-0.0023809061454021
58	-0.000568906145402059
58	-0.000467906145402042
58	-0.000814906145402028
58	-0.000506906145402053
58	-0.000757906145402054
58	6.09385459793277e-06
59	-0.00293190614540206
59	-0.00161890614540205
59	-0.00179690614540207
59	-0.00230090614540213
59	-0.000464906145402066
59	-0.000377906145402118
59	-0.000681906145402089
59	-0.000433906145402063
59	-0.000685906145402093
59	3.80938545979648e-05
60	-0.0028329061454021
60	-0.00151390614540203
60	-0.00167490614540211
60	-0.00228790614540209
60	-0.000348906145402061
60	-0.000273906145402125
60	-0.000595906145402059
60	-0.000293906145402034
60	-0.000609906145402128
60	0.000191093854597923
61	-0.00272190614540213
61	-0.00144490614540205
61	-0.00153590614540211
61	-0.00223090614540211
61	-0.00023690614540206
61	-0.000162906145402042
61	-0.00052190614540204
61	-0.000207906145402115
61	-0.00050890614540211
61	0.000210093854597915
62	-0.00258890614540208
62	-0.00137890614540204
62	-0.00144390614540213
62	-0.00215690614540209
62	-0.000192906145402127
62	-5.99061454020777e-05
62	-0.000416906145402129
62	-0.000120906145402055
62	-0.000338906145402107
