Del_APP	delta0	nC_APP	p_APP
1.84	0	9	0.0236711881771936
1.85	0	9	0.0236521745363335
1.86	0	9	0.0236331781346456
1.87	0	9	0.0236141989594537
1.88	0	9	0.023595236998088
1.89	0	9	0.0235762922378854
1.9	0	9	0.0235573646661889
1.91	0	9	0.0235384542703484
1.92	0	9	0.0235195610377202
1.93	0	9	0.023500684955667
1.94	0	9	0.0234818260115582
1.95	0	9	0.0234629841927696
1.96	0	9	0.0234441594866836
1.97	0	9	0.0234253518806891
1.98	0	9	0.0234065613621814
1.99	0	9	0.0233877879185625
2	0	9	0.023369031537241
2.01	0	9	0.0233502922056318
2.02	0	9	0.0233315699111563
2.03	0	9	0.0233128646412429
2.04	0	9	0.0232941763833259
2.05	0	9	0.0232755051248467
2.06	0	9	0.0232572680512501
2.07	0	9	0.0232390669910253
2.08	0	9	0.0232208821252612
2.09	0	9	0.0232027134419964
2.1	0	9	0.0231845609292767
2.11	0	9	0.0231664245751544
2.12	0	9	0.023148304367689
2.13	0	9	0.0231302002949466
2.14	0	9	0.0231121123450004
2.15	0	9	0.0230940405059304
2.16	0	9	0.0230759847658233
2.17	0	9	0.0230579451127729
2.18	0	9	0.0230399215348798
2.19	0	9	0.0230219140202514
2.2	0	9	0.0230063690617699
2.21	0	9	0.0229910685719593
2.22	0	9	0.0229694171074257
2.23	0	10	0.0232149553504529
2.24	0	10	0.0232071057195079
2.25	0	10	0.0231992473917166
2.26	0	10	0.0231913803762348
2.27	0	10	0.0231835046822343
2.28	0	10	0.023175620318903
2.29	0	10	0.0231529379302917
2.3	0	10	0.0231299303094977
2.31	0	10	0.0231069443900856
2.32	0	10	0.0230839801554412
2.33	0	10	0.0230610375889577
2.34	0	10	0.0230381166740353
2.35	0	10	0.023015217394082
2.36	0	10	0.0229923397325127
2.37	0	10	0.0229694836727498
2.38	0	10	0.0229466491982229
2.39	0	10	0.022924286147373
2.4	0	10	0.0229019814138298
2.41	0	10	0.022879697432189
2.42	0	10	0.0228574341863179
2.43	0	10	0.0228351916600916
2.44	0	10	0.0228129698373928
2.45	0	10	0.0227907687021118
2.46	0	10	0.0227810604696616
2.47	0	10	0.0227786230922174
2.48	0	10	0.0227655036704074
2.49	0	10	0.0227638655845827
2.5	0	10	0.0227629862951632
2.51	0	10	0.0227620974735988
2.52	0	10	0.0227611991160178
2.53	0	10	0.0227602912185675
2.54	0	10	0.0227588339197724
2.55	0	10	0.0227561705793189
2.56	0	10	0.0227534970979474
2.57	0	10	0.0227508134761301
2.58	0	10	0.0227481197143606
2.59	0	10	0.0227454158131534
2.6	0	10	0.0227427017730446
2.61	0	10	0.0227399775945913
2.62	0	10	0.022737243278372
2.63	0	10	0.0227329945142361
2.64	0	10	0.0227088647536346
2.65	0	10	0.0226847547376154
2.66	0	10	0.0226606644594807
2.67	0	10	0.022636593912521
2.68	0	10	0.0226125430900154
2.69	0	10	0.0225885119852308
2.7	0	10	0.0225645005914229
2.71	0	10	0.0225405089018354
2.72	0	10	0.0225165369097007
2.73	0	10	0.0224925846082393
2.74	0	10	0.0224690816124184
2.75	0	10	0.0224600301792422
2.76	0	10	0.0224509918585758
2.77	0	10	0.0224419666440863
2.78	0	10	0.0224329545294511
2.79	0	10	0.0224239555083573
2.8	0	10	0.0224149695745017
2.81	0	10	0.0224059967215913
2.82	0	10	0.0223873901133612
